Model,Config,Seed (CI),N subjects,k/N,Subject Acc 95% CI (Wilson),Subject Macro-F1 95% CI (bootstrap),Subject Macro-AUC 95% CI (bootstrap),Bootstrap iters
Hubert,acoustic,0,13,12/13,"[0.6669, 0.9863]","[0.6000, 1.0000]","[1.0000, 1.0000]",2000
Hubert,fullspec,0,13,12/13,"[0.6669, 0.9863]","[0.7778, 1.0000]","[1.0000, 1.0000]",2000
Hubert,last3,0,13,11/13,"[0.5777, 0.9567]","[0.5455, 1.0000]","[0.8815, 1.0000]",2000
Hubert,middle3,0,13,12/13,"[0.6669, 0.9863]","[0.7778, 1.0000]","[0.9556, 1.0000]",2000
Hubert,stability,0,13,12/13,"[0.6669, 0.9863]","[0.7778, 1.0000]","[0.9556, 1.0000]",2000
wav2vec,acoustic,0,13,13/13,"[0.7719, 1.0000]","[1.0000, 1.0000]","[1.0000, 1.0000]",2000
wav2vec,fullspec,0,13,12/13,"[0.6669, 0.9863]","[0.7778, 1.0000]","[1.0000, 1.0000]",2000
wav2vec,last3,0,13,11/13,"[0.5777, 0.9567]","[0.5455, 1.0000]","[0.9000, 1.0000]",2000
wav2vec,middle3,0,13,12/13,"[0.6669, 0.9863]","[0.7778, 1.0000]","[0.9556, 1.0000]",2000
wav2vec,stability,0,13,12/13,"[0.6669, 0.9863]","[0.7778, 1.0000]","[1.0000, 1.0000]",2000
data2vec,acoustic,0,13,12/13,"[0.6669, 0.9863]","[0.7333, 1.0000]","[0.9444, 1.0000]",2000
data2vec,fullspec,0,13,11/13,"[0.5777, 0.9567]","[0.5357, 1.0000]","[0.8968, 1.0000]",2000
data2vec,last3,0,13,9/13,"[0.4237, 0.8732]","[0.3841, 0.8963]","[0.7812, 0.9778]",2000
data2vec,middle3,0,13,12/13,"[0.6669, 0.9863]","[0.7980, 1.0000]","[1.0000, 1.0000]",2000
data2vec,stability,0,13,12/13,"[0.6669, 0.9863]","[0.7980, 1.0000]","[1.0000, 1.0000]",2000
wavlm,acoustic,0,13,13/13,"[0.7719, 1.0000]","[1.0000, 1.0000]","[1.0000, 1.0000]",2000
wavlm,fullspec,0,13,12/13,"[0.6669, 0.9863]","[0.7778, 1.0000]","[0.9238, 1.0000]",2000
wavlm,last3,0,13,11/13,"[0.5777, 0.9567]","[0.5455, 1.0000]","[0.8762, 1.0000]",2000
wavlm,middle3,0,13,12/13,"[0.6669, 0.9863]","[0.7778, 1.0000]","[0.9000, 1.0000]",2000
wavlm,stability,0,13,12/13,"[0.6669, 0.9863]","[0.7778, 1.0000]","[0.8857, 1.0000]",2000
