model,config,smote,merge,split_seed,init_seed,n_test_subjects,k_correct,subject_acc,subject_acc_ci_low,subject_acc_ci_high,subject_f1_macro,subject_auc_ovr_macro
Hubert,acoustic,True,True,42,0,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9076923076923077,1.0
Hubert,acoustic,True,True,42,1,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,2,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,3,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9076923076923077,1.0
Hubert,acoustic,True,True,42,4,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9076923076923077,1.0
Hubert,acoustic,True,True,42,5,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,6,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,7,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,8,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,9,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,10,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9076923076923077,1.0
Hubert,acoustic,True,True,42,11,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,12,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,13,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,14,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9076923076923077,1.0
Hubert,acoustic,True,True,42,15,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9076923076923077,1.0
Hubert,acoustic,True,True,42,16,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,17,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,18,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,19,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9076923076923077,1.0
Hubert,acoustic,True,True,42,20,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9076923076923077,1.0
Hubert,acoustic,True,True,42,21,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
Hubert,acoustic,True,True,42,22,13,12,0.9230769230769231,0.6668604907890041,0.9862895787574433,0.9076923076923077,1.0
Hubert,acoustic,True,True,42,23,13,13,1.0,0.7719046276458016,0.9999999999999999,1.0,1.0
