model,config,smote,merge,split_seed,n_init_seeds,n_test_subjects,k_correct_dist,subject_acc_mean,subject_acc_std,subject_f1_mean,subject_f1_std,subject_auc_mean,subject_auc_std,rep_init_seed,rep_n_test_subjects,rep_k_correct,subject_acc_ci_low,subject_acc_ci_high,subject_f1_ci_low,subject_f1_ci_high,subject_auc_ci_low,subject_auc_ci_high,bootstrap_iters
Hubert,acoustic,True,True,42,30,13,"{""12"": 11, ""13"": 19}",0.9717948717948718,0.03770250137335082,0.9661538461538461,0.04524300164802102,1.0,0.0,0,13,12,0.6668604907890041,0.9862895787574433,0.6,1.0,1.0,1.0,2000
Hubert,fullspec,True,True,42,30,13,"{""11"": 5, ""12"": 21, ""13"": 4}",0.9205128205128206,0.04277333975134889,0.9204545454545455,0.041599268319283594,0.9992592592592593,0.002818979241138465,0,13,12,0.6668604907890041,0.9862895787574433,0.7777777777777777,1.0,1.0,1.0,2000
Hubert,last3,True,True,42,30,13,"{""10"": 1, ""11"": 29}",0.8435897435897436,0.014044168141158093,0.8193490460157127,0.012048666809316782,0.9587654320987654,0.011620235744192608,0,13,11,0.5776536898051747,0.9567418216419188,0.5454545454545454,1.0,0.8814814814814816,1.0,2000
Hubert,middle3,True,True,42,30,13,"{""11"": 1, ""12"": 29}",0.9205128205128206,0.014044168141158121,0.9196753246753248,0.013159567940059213,0.9877777777777778,0.0033903175181040418,0,13,12,0.6668604907890041,0.9862895787574433,0.7777777777777777,1.0,0.9555555555555556,1.0,2000
Hubert,stability,True,True,42,30,13,"{""12"": 30}",0.9230769230769231,0.0,0.9220779220779222,0.0,0.9844444444444445,0.007496274085146689,0,13,12,0.6668604907890041,0.9862895787574433,0.7777777777777777,1.0,0.9555555555555556,1.0,2000
data2vec,acoustic,True,True,42,30,13,"{""11"": 2, ""12"": 28}",0.917948717948718,0.019516010130958664,0.9208302808302807,0.022489878341390424,0.9907407407407408,0.0,0,13,12,0.6668604907890041,0.9862895787574433,0.7333333333333334,1.0,0.9444444444444445,1.0,2000
data2vec,fullspec,True,True,42,30,13,"{""11"": 8, ""12"": 22}",0.9025641025641026,0.034598188085292615,0.903101343101343,0.039870292936384756,0.9841269841269842,0.0030083255697575355,0,13,11,0.5776536898051747,0.9567418216419188,0.5357142857142857,1.0,0.8968253968253969,1.0,2000
data2vec,last3,True,True,42,30,13,"{""9"": 27, ""10"": 3}",0.7,0.023471428971489607,0.643939393939394,0.023115801259800405,0.9050529100529101,0.013509733323511224,0,13,9,0.42369343180549046,0.8731929634428949,0.3841269841269841,0.8962962962962964,0.7812169312169313,0.9777777777777779,2000
data2vec,middle3,True,True,42,30,13,"{""11"": 1, ""12"": 29}",0.9205128205128206,0.014044168141158112,0.9294500561167228,0.017581217895227562,0.9954585537918871,0.007765003134831911,0,13,12,0.6668604907890041,0.9862895787574433,0.7979797979797979,1.0,1.0,1.0,2000
data2vec,stability,True,True,42,30,13,"{""12"": 30}",0.9230769230769231,0.0,0.9326599326599326,0.0,0.9953703703703703,0.005830773425207426,0,13,12,0.6668604907890041,0.9862895787574433,0.7979797979797979,1.0,1.0,1.0,2000
wav2vec,acoustic,True,True,42,30,13,"{""13"": 30}",1.0,0.0,1.0,0.0,1.0,0.0,0,13,13,0.7719046276458016,0.9999999999999999,1.0,1.0,1.0,1.0,2000
wav2vec,fullspec,True,True,42,30,13,"{""12"": 29, ""13"": 1}",0.9256410256410257,0.014044168141158091,0.9246753246753248,0.014226559935199112,0.9988888888888889,0.0033903175181040674,0,13,12,0.6668604907890041,0.9862895787574433,0.7777777777777777,1.0,1.0,1.0,2000
wav2vec,last3,True,True,42,30,13,"{""11"": 28, ""12"": 2}",0.8512820512820514,0.019516010130958685,0.8282507615840948,0.025505050276967162,0.9744444444444444,0.006621815925204874,0,13,11,0.5776536898051747,0.9567418216419188,0.5454545454545454,1.0,0.9,1.0,2000
wav2vec,middle3,True,True,42,30,13,"{""12"": 30}",0.9230769230769231,0.0,0.9220779220779222,0.0,0.9851851851851853,0.005327370016504257,0,13,12,0.6668604907890041,0.9862895787574433,0.7777777777777777,1.0,0.9555555555555556,1.0,2000
wav2vec,stability,True,True,42,30,13,"{""12"": 30}",0.9230769230769231,0.0,0.9220779220779222,0.0,0.9940740740740741,0.005637958482276913,0,13,12,0.6668604907890041,0.9862895787574433,0.7777777777777777,1.0,1.0,1.0,2000
wavlm,acoustic,True,True,42,30,13,"{""12"": 1, ""13"": 29}",0.9974358974358974,0.0140441681411581,0.9969230769230769,0.01685300176938973,1.0,0.0,0,13,13,0.7719046276458016,0.9999999999999999,1.0,1.0,1.0,1.0,2000
wavlm,fullspec,True,True,42,30,13,"{""12"": 30}",0.9230769230769231,0.0,0.9220779220779222,0.0,0.9865608465608466,0.009684229426555316,0,13,12,0.6668604907890041,0.9862895787574433,0.7777777777777777,1.0,0.9238095238095237,1.0,2000
