model,config,smote,merge,test_acc_mean,test_acc_std,macro_f1_mean,macro_f1_std,macro_auc_mean,macro_auc_std
Hubert,acoustic,True,True,0.7767824204949041,0.01733672590060051,0.7741601701726704,0.01785356976103481,0.9149775511188272,0.009444519885730012
Hubert,fullspec,True,True,0.7877777903030316,0.01824649657799525,0.7850639817153282,0.018810619746099544,0.9203711178626544,0.009527706978691127
Hubert,last3,True,True,0.6014352058370908,0.01740820808281611,0.5891090441666068,0.018261188338547896,0.7866368152006175,0.014784302316527815
Hubert,middle3,True,True,0.7432176077427963,0.017347848982598068,0.7402659217857396,0.017637283760334948,0.8922761622299384,0.010972598729078376
Hubert,stability,True,True,0.7934027899677555,0.015489639211190545,0.7912829060803422,0.016125487673781063,0.9268884066358025,0.009734769275938396
data2vec,acoustic,True,True,0.736388904415071,0.013516535862520423,0.7379863638829721,0.013573687917603636,0.8926278211805555,0.008774991615512663
data2vec,fullspec,True,True,0.7148611279514928,0.012938053975469913,0.7166878224656635,0.012841915080483709,0.8742909071180556,0.010099165351509015
data2vec,last3,True,True,0.5084490899151812,0.013901712326721017,0.4989047638465282,0.012691134249799492,0.7113612557870371,0.012440886479445626
data2vec,middle3,True,True,0.614166687304775,0.021215324986450217,0.609507217593207,0.02203166327244083,0.8027536410108025,0.01444256582053811
data2vec,stability,True,True,0.6419444645134111,0.017598926362655462,0.6390586438845081,0.018826077897465102,0.826334442515432,0.012231082212278014
wav2vec,acoustic,True,True,0.7803240870746474,0.015330645585990855,0.7766921165808884,0.015876970411708158,0.919626048900463,0.007730618069367014
wav2vec,fullspec,True,True,0.7922685308071474,0.01595483397839141,0.7885976063642023,0.016839591120155047,0.9271847632137347,0.008018084257038533
wav2vec,last3,True,True,0.668425944664826,0.0212404149997581,0.6526296164100585,0.022809483846427333,0.844605625482253,0.013600162884049216
wav2vec,stability,True,True,0.8118981593288481,0.017117487226141596,0.8096121603471129,0.01763130242187598,0.9347428988233025,0.008120547541051574
wavlm,middle3,True,True,0.7650694583542645,0.015742254641571612,0.7612356803406647,0.016453040826632497,0.9083221812307097,0.008826250373078272
wav2vec,middle3,True,True,0.7632407545112073,0.020459557595584543,0.7574319656845477,0.021766378513852217,0.9050817539544753,0.011408770819453214
wavlm,acoustic,True,True,0.7564814957169195,0.014542859018338924,0.7509631121158031,0.01619138553838525,0.9044161723572531,0.00794674632038481
wavlm,fullspec,True,True,0.8057407521642744,0.012476743847516191,0.8029461908937411,0.012947213166370866,0.9341106650270063,0.006780668666327005
